origin_country,origin_wps_score,origin_region,asylum_country,asylum_wps_score,asylum_region,total_female_displaced,female_percentage
Haiti,0.399,"LAC, FS",Guatemala,0.561,LAC,208,0.34840871021775544
Iraq,0.51,"MENA, FS",Hungary,0.832,CEE&CA,208,0.35800344234079173
Czechia,0.832,CEE&CA,Canada,0.885,DC,205,0.46697038724373574
Sudan,0.397,"MENA, FS",Austria,0.898,DC,205,0.51637279596977326
Sudan,0.397,"MENA, FS",Denmark,0.939,DC,204,0.47331786542923432
Somalia,0.455,"MENA, FS",Tunisia,0.671,MENA,203,0.1891891891891892
Pakistan,0.462,SA,Sweden,0.924,DC,202,0.46651270207852191
Dominican Rep.,0.675,LAC,France,0.864,DC,202,0.57549857549857553
Rwanda,0.624,SSA,Cameroon,0.451,"SSA, FS",201,0.45372460496614
Myanmar,0.442,"EAP, FS",Canada,0.885,DC,200,0.47961630695443647
Cameroon,0.451,"SSA, FS",Spain,0.862,DC,200,0.41841004184100417
Peru,0.701,LAC,Germany,0.869,DC,199,0.51156812339331614
Bangladesh,0.526,SA,Germany,0.869,DC,199,0.19471624266144813
Cuba,,,Germany,0.869,DC,198,0.39363817097415504
Armenia,0.762,CEE&CA,Austria,0.898,DC,198,0.45205479452054792
Sudan,0.397,"MENA, FS",Rwanda,0.624,SSA,197,0.44369369369369371
"China, Hong Kong SAR",0.685,EAP,Canada,0.885,DC,196,0.5
Cameroon,0.451,"SSA, FS",Mexico,0.558,LAC,195,0.37864077669902912
Brazil,0.632,LAC,Ireland,0.891,DC,195,0.46987951807228917
Ghana,0.639,SSA,Mexico,0.558,LAC,195,0.28592375366568917
Philippines,0.607,EAP,Italy,0.811,DC,195,0.48267326732673266
Cambodia,0.667,EAP,Thailand,0.761,EAP,195,0.46539379474940334
Burkina Faso,0.507,"SSA, FS",Germany,0.869,DC,194,0.39754098360655737
Pakistan,0.462,SA,Switzerland,0.877,DC,193,0.46062052505966589
Afghanistan,0.279,"SA, FS",Kenya,0.542,SSA,193,0.420479302832244
Yemen,0.323,"MENA, FS",Finland,0.921,DC,193,0.36142322097378277
Colombia,0.551,LAC,Uruguay,0.822,LAC,192,0.41113490364025695
Bosnia and Herzegovina,0.753,CEE&CA,Netherlands (Kingdom of the),0.905,DC,192,0.17761332099907493
Angola,0.601,SSA,Dem. Rep. of the Congo,0.583,"SSA, FS",191,0.45153664302600471
Dem. Rep. of the Congo,0.583,"SSA, FS",Mali,0.478,"SSA, FS",190,0.54131054131054135
Argentina,0.791,LAC,Italy,0.811,DC,189,0.47368421052631576
Niger,0.492,"SSA, FS",Belgium,0.912,DC,189,0.31925675675675674
Montenegro,0.743,CEE&CA,Germany,0.869,DC,188,0.55457227138643073
Poland,0.854,CEE&CA,Canada,0.885,DC,188,0.46305418719211822
Stateless,,,Norway,0.924,DC,187,0.11536088834053054
Iraq,0.51,"MENA, FS",Kuwait,0.723,MENA,186,0.49206349206349204
Colombia,0.551,LAC,Norway,0.924,DC,186,0.41986455981941312
Syrian Arab Rep.,0.364,"MENA, FS",Georgia,0.798,CEE&CA,185,0.39699570815450641
Russian Federation,0.718,CEE&CA,Costa Rica,0.824,LAC,185,0.42045454545454547
Yemen,0.323,"MENA, FS",Syrian Arab Rep.,0.364,"MENA, FS",183,0.46683673469387754
State of Palestine,,,Malaysia,0.738,EAP,182,0.325
Liberia,0.512,SSA,France,0.864,DC,181,0.37242798353909468
Sri Lanka,0.706,SA,Indonesia,0.678,EAP,181,0.461734693877551
Yemen,0.323,"MENA, FS",Switzerland,0.877,DC,181,0.49862258953168043
Nigeria,0.495,"SSA, FS",Switzerland,0.877,DC,180,0.44887780548628431
Azerbaijan,0.653,CEE&CA,Switzerland,0.877,DC,180,0.50139275766016711
Liberia,0.512,SSA,Guinea,0.527,SSA,179,0.521865889212828
Burundi,0.407,"SSA, FS",Namibia,0.608,SSA,179,0.43028846153846156
Dem. Rep. of the Congo,0.583,"SSA, FS",Spain,0.862,DC,178,0.50568181818181823
Somalia,0.455,"MENA, FS",Botswana,0.658,SSA,177,0.472
Belarus,0.739,CEE&CA,Italy,0.811,DC,176,0.42822384428223842
Lebanon,0.575,"MENA, FS",Belgium,0.912,DC,176,0.36288659793814432
Lebanon,0.575,"MENA, FS",United Kingdom of Great Britain and Northern Ireland,0.864,DC,176,0.30662020905923343
Cameroon,0.451,"SSA, FS",Morocco,0.668,MENA,176,0.32293577981651378
Russian Federation,0.718,CEE&CA,Latvia,0.884,CEE&CA,175,0.45691906005221933
Morocco,0.668,MENA,United Kingdom of Great Britain and Northern Ireland,0.864,DC,175,0.23087071240105542
Pakistan,0.462,SA,Greece,0.752,DC,175,0.1473063973063973
Dem. Rep. of the Congo,0.583,"SSA, FS",Austria,0.898,DC,174,0.52252252252252251
Gambia,0.528,SSA,Canada,0.885,DC,174,0.24
Serbia and Kosovo: S/RES/1244 (1999),0.844,CEE&CA,Austria,0.898,DC,173,0.52743902439024393
Burundi,0.407,"SSA, FS",Eswatini,0.556,SSA,173,0.40046296296296297
Nigeria,0.495,"SSA, FS",Belgium,0.912,DC,172,0.32887189292543023
Uzbekistan,0.674,CEE&CA,France,0.864,DC,171,0.52615384615384619
Guinea,0.527,SSA,Egypt,0.617,MENA,171,0.74025974025974028
Russian Federation,0.718,CEE&CA,Mexico,0.558,LAC,171,0.10251798561151079
Uruguay,0.822,LAC,Spain,0.862,DC,171,0.501466275659824
India,0.607,SA,France,0.864,DC,171,0.28311258278145696
Ethiopia,0.516,"SSA, FS",Greece,0.752,DC,170,0.33398821218074654
Ethiopia,0.516,"SSA, FS",Austria,0.898,DC,170,0.50595238095238093
Mexico,0.558,LAC,Spain,0.862,DC,170,0.43256997455470736
Rep. of Moldova,0.821,CEE&CA,Romania,0.801,CEE&CA,170,0.4885057471264368
Congo,0.583,"SSA, FS",Dem. Rep. of the Congo,0.583,"SSA, FS",170,0.397196261682243
Ukraine,0.645,"CEE&CA, FS",Armenia,0.762,CEE&CA,169,0.21976592977893367
Burkina Faso,0.507,"SSA, FS",Belgium,0.912,DC,169,0.449468085106383
Chad,0.476,"SSA, FS",United Kingdom of Great Britain and Northern Ireland,0.864,DC,169,0.3730684326710817
United Rep. of Tanzania,0.624,SSA,Germany,0.869,DC,168,0.39436619718309857
Georgia,0.798,CEE&CA,Greece,0.752,DC,168,0.48837209302325579
Afghanistan,0.279,"SA, FS",Kyrgyzstan,0.697,CEE&CA,168,0.46666666666666667
Albania,0.731,CEE&CA,Greece,0.752,DC,168,0.40481927710843374
Lebanon,0.575,"MENA, FS",Sweden,0.924,DC,168,0.35073068893528186
Dem. Rep. of the Congo,0.583,"SSA, FS",Botswana,0.658,SSA,167,0.46388888888888891
Trinidad and Tobago,0.685,LAC,Canada,0.885,DC,167,0.51543209876543206
Senegal,0.657,SSA,Germany,0.869,DC,167,0.34151329243353784
Afghanistan,0.279,"SA, FS",Iceland,0.932,DC,165,0.44235924932975873
Armenia,0.762,CEE&CA,Spain,0.862,DC,165,0.26357827476038337
Russian Federation,0.718,CEE&CA,Ukraine,0.645,"CEE&CA, FS",164,0.42819843342036551
Syrian Arab Rep.,0.364,"MENA, FS",Argentina,0.791,LAC,164,0.38228438228438227
Tajikistan,0.685,CEE&CA,Austria,0.898,DC,163,0.49847094801223241
Nigeria,0.495,"SSA, FS",Mauritania,0.475,SSA,163,0.44293478260869568
Poland,0.854,CEE&CA,Germany,0.869,DC,163,0.31467181467181465
Equatorial Guinea,,,Spain,0.862,DC,162,0.51428571428571423
Stateless,,,Türkiye,0.664,CEE&CA,162,0.38571428571428573
Central African Rep.,0.362,"SSA, FS",Spain,0.862,DC,162,0.40909090909090912
Iraq,0.51,"MENA, FS",Romania,0.801,CEE&CA,162,0.27181208053691275
Cote d'Ivoire,0.589,SSA,Tunisia,0.671,MENA,161,0.42480211081794195
Egypt,0.617,MENA,Greece,0.752,DC,161,0.034240748617609527
Nigeria,0.495,"SSA, FS",Morocco,0.668,MENA,161,0.37616822429906543
Russian Federation,0.718,CEE&CA,Ireland,0.891,DC,160,0.48048048048048048
Dem. Rep. of the Congo,0.583,"SSA, FS",Netherlands (Kingdom of the),0.905,DC,160,0.1866977829638273
Iraq,0.51,"MENA, FS",Bahrain,0.765,MENA,159,0.4662756598240469
Afghanistan,0.279,"SA, FS",Kazakhstan,0.722,CEE&CA,159,0.496875
Stateless,,,Finland,0.921,DC,159,0.12
Kenya,0.542,SSA,France,0.864,DC,158,0.54671280276816614
Somalia,0.455,"MENA, FS",Sudan,0.397,"MENA, FS",158,0.4716417910447761
Bangladesh,0.526,SA,Lebanon,0.575,"MENA, FS",158,0.55244755244755239
Rwanda,0.624,SSA,Eswatini,0.556,SSA,157,0.42896174863387976
Egypt,0.617,MENA,Jordan,0.686,MENA,157,0.50645161290322582
Iraq,0.51,"MENA, FS",Brazil,0.632,LAC,156,0.38709677419354838
Nicaragua,0.659,LAC,United Kingdom of Great Britain and Northern Ireland,0.864,DC,156,0.3183673469387755
Sudan,0.397,"MENA, FS",Indonesia,0.678,EAP,156,0.3340471092077088
Ethiopia,0.516,"SSA, FS",Norway,0.924,DC,156,0.28467153284671531
Jordan,0.686,MENA,Lebanon,0.575,"MENA, FS",156,0.7289719626168224
Iraq,0.51,"MENA, FS",Indonesia,0.678,EAP,155,0.38944723618090454
Pakistan,0.462,SA,Nepal,0.631,SA,154,0.43502824858757061
Algeria,0.621,MENA,United Kingdom of Great Britain and Northern Ireland,0.864,DC,154,0.1437908496732026
Ukraine,0.645,"CEE&CA, FS",Kazakhstan,0.722,CEE&CA,154,0.62857142857142856
Somalia,0.455,"MENA, FS",Syrian Arab Rep.,0.364,"MENA, FS",153,0.59073359073359077
Niger,0.492,"SSA, FS",Italy,0.811,DC,152,0.25632377740303541
Yemen,0.323,"MENA, FS",Morocco,0.668,MENA,152,0.28096118299445472
Egypt,0.617,MENA,Austria,0.898,DC,149,0.36165048543689321
Venezuela (Bolivarian Republic of),0.638,"LAC, FS",Austria,0.898,DC,149,0.53024911032028466
Iran (Islamic Rep. of),0.608,SA,Malaysia,0.738,EAP,149,0.42816091954022989
Algeria,0.621,MENA,Belgium,0.912,DC,149,0.36341463414634145
Nepal,0.631,SA,France,0.864,DC,149,0.34651162790697676
Argentina,0.791,LAC,Mexico,0.558,LAC,148,0.47741935483870968
Sudan,0.397,"MENA, FS",Ireland,0.891,DC,148,0.28793774319066145
Libya,0.608,"MENA, FS",Switzerland,0.877,DC,147,0.44144144144144143
Niger,0.492,"SSA, FS",France,0.864,DC,147,0.2752808988764045
Cote d'Ivoire,0.589,SSA,Mozambique,0.548,"SSA, FS",147,0.34345794392523366
Türkiye,0.664,CEE&CA,Denmark,0.939,DC,146,0.40220385674931131
Cambodia,0.667,EAP,Switzerland,0.877,DC,146,0.59109311740890691
French Guiana,,,Mexico,0.558,LAC,146,0.44648318042813456
Afghanistan,0.279,"SA, FS",Uganda,0.587,SSA,145,0.46031746031746029
Uganda,0.587,SSA,South Sudan,0.411,"SSA, FS",144,0.41739130434782606
Uganda,0.587,SSA,Zambia,0.566,SSA,143,0.25858951175406869
Peru,0.701,LAC,Belgium,0.912,DC,142,0.47333333333333333
Ecuador,0.612,LAC,Chile,0.739,LAC,142,0.55686274509803924
Sierra Leone,0.601,SSA,Canada,0.885,DC,142,0.43292682926829268
Dem. Rep. of the Congo,0.583,"SSA, FS",Lesotho,0.614,SSA,141,0.46229508196721314
Argentina,0.791,LAC,Canada,0.885,DC,141,0.51086956521739135
United Kingdom of Great Britain and Northern Ireland,0.864,DC,Canada,0.885,DC,138,0.4437299035369775
Yemen,0.323,"MENA, FS",Belgium,0.912,DC,138,0.22439024390243903
China,0.685,EAP,Costa Rica,0.824,LAC,138,0.23509369676320271
Colombia,0.551,LAC,Brazil,0.632,LAC,138,0.081753554502369666
Eritrea,,,Rwanda,0.624,SSA,137,0.46917808219178081
Senegal,0.657,SSA,Morocco,0.668,MENA,137,0.0716902145473574
Iraq,0.51,"MENA, FS",Ireland,0.891,DC,137,0.31860465116279069
Cameroon,0.451,"SSA, FS",Tunisia,0.671,MENA,137,0.42679127725856697
Tunisia,0.671,MENA,Switzerland,0.877,DC,136,0.42902208201892744
Burundi,0.407,"SSA, FS",Egypt,0.617,MENA,135,0.57939914163090134
Dem. Rep. of the Congo,0.583,"SSA, FS",Morocco,0.668,MENA,134,0.40361445783132532
Jordan,0.686,MENA,United Kingdom of Great Britain and Northern Ireland,0.864,DC,134,0.096333572969086984
Albania,0.731,CEE&CA,Ireland,0.891,DC,134,0.29130434782608694
Mali,0.478,"SSA, FS",Brazil,0.632,LAC,133,0.28118393234672306
Uganda,0.587,SSA,France,0.864,DC,133,0.41176470588235292
Guinea,0.527,SSA,Netherlands (Kingdom of the),0.905,DC,133,0.2289156626506024
Russian Federation,0.718,CEE&CA,Estonia,0.896,CEE&CA,132,0.50769230769230766
China,0.685,EAP,Greece,0.752,DC,132,0.5617021276595745
Iraq,0.51,"MENA, FS",Luxembourg,0.918,DC,132,0.3127962085308057
Colombia,0.551,LAC,Sweden,0.924,DC,131,0.33164556962025316
Russian Federation,0.718,CEE&CA,Azerbaijan,0.653,CEE&CA,130,0.47445255474452552
Saudi Arabia,0.739,MENA,Germany,0.869,DC,130,0.54852320675105481
Guinea,0.527,SSA,Greece,0.752,DC,129,0.28666666666666668
Afghanistan,0.279,"SA, FS",Latvia,0.884,CEE&CA,129,0.37719298245614036
Ukraine,0.645,"CEE&CA, FS",Mexico,0.558,LAC,129,0.51807228915662651
Benin,0.587,SSA,Canada,0.885,DC,129,0.25646123260437376
Ethiopia,0.516,"SSA, FS",Denmark,0.939,DC,129,0.48314606741573035
Afghanistan,0.279,"SA, FS",Chile,0.739,LAC,128,0.56140350877192979
Russian Federation,0.718,CEE&CA,Croatia,0.788,CEE&CA,127,0.23049001814882034
Yemen,0.323,"MENA, FS",Saudi Arabia,0.739,MENA,127,0.47211895910780671
Sudan,0.397,"MENA, FS",Nigeria,0.495,"SSA, FS",127,0.16601307189542483
Poland,0.854,CEE&CA,Sweden,0.924,DC,127,0.42760942760942761
Sudan,0.397,"MENA, FS",Somalia,0.455,"MENA, FS",126,0.4
Bolivia (Plurinational State of),0.701,LAC,Spain,0.862,DC,126,0.52719665271966532
Italy,0.811,DC,Canada,0.885,DC,126,0.51639344262295084
Yemen,0.323,"MENA, FS",Kenya,0.542,SSA,126,0.35294117647058826
Kenya,0.542,SSA,Uganda,0.587,SSA,126,0.47014925373134331
Mongolia,0.799,EAP,Canada,0.885,DC,125,0.47709923664122139
Sudan,0.397,"MENA, FS",Malaysia,0.738,EAP,125,0.34246575342465752
Peru,0.701,LAC,Chile,0.739,LAC,125,0.58685446009389675
Bangladesh,0.526,SA,South Africa,0.648,SSA,125,0.01306028628147529
Algeria,0.621,MENA,Italy,0.811,DC,125,0.2413127413127413
Azerbaijan,0.653,CEE&CA,Belgium,0.912,DC,124,0.36363636363636365
Syrian Arab Rep.,0.364,"MENA, FS",Latvia,0.884,CEE&CA,123,0.40065146579804561
Cameroon,0.451,"SSA, FS",India,0.607,SA,123,0.57746478873239437
Colombia,0.551,LAC,Denmark,0.939,DC,123,0.46590909090909088
Pakistan,0.462,SA,Syrian Arab Rep.,0.364,"MENA, FS",123,0.45387453874538747
Jamaica,0.703,LAC,United Kingdom of Great Britain and Northern Ireland,0.864,DC,122,0.29539951573849876
Saudi Arabia,0.739,MENA,Canada,0.885,DC,122,0.38853503184713378
Bosnia and Herzegovina,0.753,CEE&CA,Italy,0.811,DC,122,0.46564885496183206
Guinea,0.527,SSA,United Kingdom of Great Britain and Northern Ireland,0.864,DC,121,0.3110539845758355
Mongolia,0.799,EAP,Sweden,0.924,DC,121,0.54751131221719462
Iraq,0.51,"MENA, FS",Qatar,0.723,MENA,120,0.49180327868852458
Türkiye,0.664,CEE&CA,Egypt,0.617,MENA,120,0.51282051282051277
North Macedonia,0.787,CEE&CA,Belgium,0.912,DC,120,0.47619047619047616
Congo,0.583,"SSA, FS",Italy,0.811,DC,120,0.31746031746031744
Cambodia,0.667,EAP,Canada,0.885,DC,119,0.48571428571428571
Afghanistan,0.279,"SA, FS",Romania,0.801,CEE&CA,119,0.39016393442622949
Viet Nam,0.721,EAP,Spain,0.862,DC,119,0.47222222222222221
Cameroon,0.451,"SSA, FS",Sweden,0.924,DC,119,0.43430656934306572
Belarus,0.739,CEE&CA,Belgium,0.912,DC,119,0.42348754448398579
Stateless,,,Azerbaijan,0.653,CEE&CA,118,0.43542435424354242
Türkiye,0.664,CEE&CA,Kenya,0.542,SSA,118,0.50862068965517238
Venezuela (Bolivarian Republic of),0.638,"LAC, FS",Switzerland,0.877,DC,118,0.502127659574468
Serbia and Kosovo: S/RES/1244 (1999),0.844,CEE&CA,Canada,0.885,DC,117,0.5246636771300448
Stateless,,,Armenia,0.762,CEE&CA,117,0.31367292225201071
Mauritania,0.475,SSA,Canada,0.885,DC,117,0.12758996728462377
Panama,0.696,LAC,Mexico,0.558,LAC,116,0.4249084249084249
State of Palestine,,,Sudan,0.397,"MENA, FS",116,0.44615384615384618
Pakistan,0.462,SA,Belgium,0.912,DC,116,0.27230046948356806
Nigeria,0.495,"SSA, FS",Greece,0.752,DC,116,0.32132963988919666
Azerbaijan,0.653,CEE&CA,United Kingdom of Great Britain and Northern Ireland,0.864,DC,116,0.27102803738317754
Burkina Faso,0.507,"SSA, FS",Brazil,0.632,LAC,116,0.28155339805825241
Unknown ,,,Italy,0.811,DC,116,0.21129326047358835
Kuwait,0.723,MENA,Denmark,0.939,DC,115,0.47131147540983609
Haiti,0.399,"LAC, FS",Spain,0.862,DC,115,0.54761904761904767
Cameroon,0.451,"SSA, FS",Austria,0.898,DC,115,0.50660792951541855
Malawi,0.549,SSA,United Kingdom of Great Britain and Northern Ireland,0.864,DC,115,0.41516245487364623
Lebanon,0.575,"MENA, FS",Austria,0.898,DC,114,0.45783132530120479
Sudan,0.397,"MENA, FS",Belgium,0.912,DC,113,0.2
Paraguay,0.768,LAC,Italy,0.811,DC,113,0.509009009009009
Costa Rica,0.824,LAC,Mexico,0.558,LAC,113,0.48497854077253216
Benin,0.587,SSA,Belgium,0.912,DC,113,0.37541528239202659
Myanmar,0.442,"EAP, FS",Netherlands (Kingdom of the),0.905,DC,112,0.2318840579710145
Angola,0.601,SSA,Spain,0.862,DC,112,0.53080568720379151
Türkiye,0.664,CEE&CA,Spain,0.862,DC,112,0.3209169054441261
Lebanon,0.575,"MENA, FS",Syrian Arab Rep.,0.364,"MENA, FS",112,0.55172413793103448
Myanmar,0.442,"EAP, FS",France,0.864,DC,111,0.21264367816091953
Chile,0.739,LAC,Norway,0.924,DC,110,0.25943396226415094
Togo,0.562,SSA,Belgium,0.912,DC,110,0.29177718832891247
United States of America,0.84,DC,Germany,0.869,DC,110,0.39855072463768115
Sierra Leone,0.601,SSA,Mauritania,0.475,SSA,110,0.35947712418300654
Libya,0.608,"MENA, FS",Spain,0.862,DC,110,0.42471042471042469
Montenegro,0.743,CEE&CA,France,0.864,DC,109,0.47807017543859648
Cameroon,0.451,"SSA, FS",China,0.685,EAP,109,0.448559670781893
Spain,0.862,DC,Canada,0.885,DC,109,0.47391304347826085
Nigeria,0.495,"SSA, FS",Finland,0.921,DC,109,0.29144385026737968
Liberia,0.512,SSA,Italy,0.811,DC,107,0.26161369193154033
Dominican Rep.,0.675,LAC,Costa Rica,0.824,LAC,107,0.55154639175257736
Myanmar,0.442,"EAP, FS",Sri Lanka,0.706,SA,107,0.46724890829694321
Venezuela (Bolivarian Republic of),0.638,"LAC, FS",Norway,0.924,DC,106,0.4472573839662447
Bolivia (Plurinational State of),0.701,LAC,Ireland,0.891,DC,106,0.55208333333333337
Afghanistan,0.279,"SA, FS",Egypt,0.617,MENA,105,0.23178807947019867
Armenia,0.762,CEE&CA,Switzerland,0.877,DC,105,0.52238805970149249
Syrian Arab Rep.,0.364,"MENA, FS",Ghana,0.639,SSA,105,0.3511705685618729
Pakistan,0.462,SA,South Africa,0.648,SSA,105,0.033664636101314524
China,0.685,EAP,Finland,0.921,DC,105,0.41832669322709165
Trinidad and Tobago,0.685,LAC,United Kingdom of Great Britain and Northern Ireland,0.864,DC,104,0.15407407407407409
France,0.864,DC,Canada,0.885,DC,104,0.44444444444444442
El Salvador,0.691,LAC,France,0.864,DC,103,0.58192090395480223
Croatia,0.788,CEE&CA,Germany,0.869,DC,102,0.44155844155844154
Armenia,0.762,CEE&CA,Sweden,0.924,DC,102,0.38783269961977185
Morocco,0.668,MENA,Ireland,0.891,DC,102,0.25
Central African Rep.,0.362,"SSA, FS",Sweden,0.924,DC,102,0.56983240223463683
Iraq,0.51,"MENA, FS",Portugal,0.861,DC,102,0.32903225806451614
Guinea,0.527,SSA,Switzerland,0.877,DC,102,0.22417582417582418
Tajikistan,0.685,CEE&CA,France,0.864,DC,101,0.38846153846153847
Nigeria,0.495,"SSA, FS",Brazil,0.632,LAC,101,0.13237221494102228
Niger,0.492,"SSA, FS",United Kingdom of Great Britain and Northern Ireland,0.864,DC,101,0.46543778801843316
Mongolia,0.799,EAP,Switzerland,0.877,DC,101,0.543010752688172
Jordan,0.686,MENA,Sweden,0.924,DC,101,0.42616033755274263
Russian Federation,0.718,CEE&CA,Czechia,0.832,CEE&CA,101,0.14305949008498584
Malawi,0.549,SSA,South Africa,0.648,SSA,100,0.13245033112582782
Somalia,0.455,"MENA, FS",Hungary,0.832,CEE&CA,100,0.16891891891891891
South Africa,0.648,SSA,France,0.864,DC,100,0.46082949308755761
Panama,0.696,LAC,Spain,0.862,DC,100,0.28901734104046245
Mali,0.478,"SSA, FS",Morocco,0.668,MENA,100,0.1394700139470014
Central African Rep.,0.362,"SSA, FS",Togo,0.562,SSA,99,0.47826086956521741
Brazil,0.632,LAC,France,0.864,DC,99,0.34615384615384615
Cote d'Ivoire,0.589,SSA,Algeria,0.621,MENA,99,0.495
Bolivia (Plurinational State of),0.701,LAC,Canada,0.885,DC,99,0.56896551724137934
Dem. Rep. of the Congo,0.583,"SSA, FS",Cote d'Ivoire,0.589,SSA,99,0.47596153846153844
Mali,0.478,"SSA, FS",Cameroon,0.451,"SSA, FS",99,0.21428571428571427
Eritrea,,,Portugal,0.861,DC,99,0.5
Zambia,0.566,SSA,South Africa,0.648,SSA,98,0.6125
Dem. Rep. of the Congo,0.583,"SSA, FS",Chad,0.476,"SSA, FS",98,0.43555555555555553
Libya,0.608,"MENA, FS",Austria,0.898,DC,98,0.49
Guinea,0.527,SSA,Cameroon,0.451,"SSA, FS",98,0.32343234323432341
Costa Rica,0.824,LAC,Spain,0.862,DC,98,0.48039215686274511
Kenya,0.542,SSA,Ireland,0.891,DC,98,0.51851851851851849
Afghanistan,0.279,"SA, FS",Czechia,0.832,CEE&CA,98,0.37404580152671757
Myanmar,0.442,"EAP, FS",Czechia,0.832,CEE&CA,97,0.42543859649122806
Cameroon,0.451,"SSA, FS",Benin,0.587,SSA,97,0.37307692307692308
Poland,0.854,CEE&CA,Denmark,0.939,DC,97,0.45754716981132076
Guinea-Bissau,0.508,"SSA, FS",Germany,0.869,DC,97,0.36329588014981273
State of Palestine,,,Romania,0.801,CEE&CA,97,0.3991769547325103
Jordan,0.686,MENA,Austria,0.898,DC,97,0.4511627906976744
Pakistan,0.462,SA,Senegal,0.657,SSA,96,0.42666666666666669
Dominican Rep.,0.675,LAC,Italy,0.811,DC,96,0.52459016393442626
Rwanda,0.624,SSA,Central African Rep.,0.362,"SSA, FS",95,0.40084388185654007
Sierra Leone,0.601,SSA,Ireland,0.891,DC,95,0.51630434782608692
Central African Rep.,0.362,"SSA, FS",Niger,0.492,"SSA, FS",95,0.42035398230088494
Venezuela (Bolivarian Republic of),0.638,"LAC, FS",Ireland,0.891,DC,95,0.48717948717948717
Tunisia,0.671,MENA,Belgium,0.912,DC,94,0.32191780821917809
Costa Rica,0.824,LAC,Canada,0.885,DC,94,0.45853658536585368
Liberia,0.512,SSA,Sierra Leone,0.601,SSA,94,0.47
Israel,0.697,DC,Canada,0.885,DC,94,0.36862745098039218
Ethiopia,0.516,"SSA, FS",Eswatini,0.556,SSA,94,0.16876122082585279
Tajikistan,0.685,CEE&CA,United Kingdom of Great Britain and Northern Ireland,0.864,DC,94,0.10981308411214953
Lebanon,0.575,"MENA, FS",Netherlands (Kingdom of the),0.905,DC,94,0.23618090452261306
Malawi,0.549,SSA,Canada,0.885,DC,94,0.61038961038961037
Syrian Arab Rep.,0.364,"MENA, FS",Kuwait,0.723,MENA,93,0.46039603960396042
Indonesia,0.678,EAP,Canada,0.885,DC,93,0.44285714285714284
Israel,0.697,DC,Germany,0.869,DC,93,0.34831460674157305
Panama,0.696,LAC,Canada,0.885,DC,93,0.510989010989011
United States of America,0.84,DC,Mexico,0.558,LAC,92,0.519774011299435
Benin,0.587,SSA,Italy,0.811,DC,92,0.11428571428571428
Viet Nam,0.721,EAP,Ireland,0.891,DC,92,0.29487179487179488
China,0.685,EAP,Sweden,0.924,DC,91,0.43333333333333335
Azerbaijan,0.653,CEE&CA,Netherlands (Kingdom of the),0.905,DC,91,0.17234848484848486
Dem. Rep. of the Congo,0.583,"SSA, FS",Algeria,0.621,MENA,91,0.55487804878048785
Rep. of Moldova,0.821,CEE&CA,Netherlands (Kingdom of the),0.905,DC,91,0.33090909090909093
Libya,0.608,"MENA, FS",Netherlands (Kingdom of the),0.905,DC,91,0.17366412213740459
Honduras,0.561,LAC,Germany,0.869,DC,91,0.4354066985645933
Central African Rep.,0.362,"SSA, FS",Ghana,0.639,SSA,91,0.39912280701754388
Libya,0.608,"MENA, FS",Belgium,0.912,DC,90,0.29508196721311475
Somalia,0.455,"MENA, FS",Thailand,0.761,EAP,90,0.6
Jordan,0.686,MENA,Netherlands (Kingdom of the),0.905,DC,90,0.24128686327077747
Angola,0.601,SSA,United Kingdom of Great Britain and Northern Ireland,0.864,DC,90,0.32846715328467152
Belarus,0.739,CEE&CA,Switzerland,0.877,DC,90,0.45
Congo,0.583,"SSA, FS",Spain,0.862,DC,90,0.55214723926380371
United Rep. of Tanzania,0.624,SSA,United Kingdom of Great Britain and Northern Ireland,0.864,DC,90,0.25714285714285712
Cambodia,0.667,EAP,Malaysia,0.738,EAP,89,0.76068376068376065
Ethiopia,0.516,"SSA, FS",Finland,0.921,DC,89,0.36032388663967613
Nicaragua,0.659,LAC,France,0.864,DC,89,0.559748427672956
Bangladesh,0.526,SA,Sweden,0.924,DC,89,0.44278606965174128
Stateless,,,Denmark,0.939,DC,88,0.01027317300957273
Dem. Rep. of the Congo,0.583,"SSA, FS",India,0.607,SA,88,0.45128205128205129
Nicaragua,0.659,LAC,Ireland,0.891,DC,88,0.51461988304093564
Cuba,,,Chile,0.739,LAC,88,0.57516339869281041
Romania,0.801,CEE&CA,Germany,0.869,DC,88,0.34509803921568627
Ethiopia,0.516,"SSA, FS",Ireland,0.891,DC,88,0.44444444444444442
Venezuela (Bolivarian Republic of),0.638,"LAC, FS",Portugal,0.861,DC,87,0.71900826446281
Chad,0.476,"SSA, FS",Germany,0.869,DC,87,0.35080645161290325
Guinea-Bissau,0.508,"SSA, FS",Brazil,0.632,LAC,87,0.6
Lebanon,0.575,"MENA, FS",Italy,0.811,DC,87,0.25
Unknown ,,,Finland,0.921,DC,87,0.424390243902439
Somalia,0.455,"MENA, FS",Iceland,0.932,DC,86,0.34959349593495936
Syrian Arab Rep.,0.364,"MENA, FS",Ukraine,0.645,"CEE&CA, FS",86,0.16602316602316602
Algeria,0.621,MENA,Switzerland,0.877,DC,86,0.18297872340425531
Russian Federation,0.718,CEE&CA,Georgia,0.798,CEE&CA,86,0.44791666666666669
India,0.607,SA,Ireland,0.891,DC,86,0.26139817629179329
Nicaragua,0.659,LAC,Finland,0.921,DC,86,0.43
