origin_country,origin_wps_score,origin_region,asylum_country,asylum_wps_score,asylum_region,total_female_displaced,female_percentage
Türkiye,0.664,CEE&CA,Germany,0.869,DC,44696,0.3495561725257107
Dem. Rep. of the Congo,0.583,"SSA, FS",Rwanda,0.624,SSA,44591,0.54318987465130164
Dem. Rep. of the Congo,0.583,"SSA, FS",United Rep. of Tanzania,0.624,SSA,43954,0.51380543800995959
Venezuela (Bolivarian Republic of),0.638,"LAC, FS",Spain,0.862,DC,43796,0.19782284656036858
Venezuela (Bolivarian Republic of),0.638,"LAC, FS",Guatemala,0.561,LAC,42038,0.43134478441995527
Ukraine,0.645,"CEE&CA, FS",Switzerland,0.877,DC,41945,0.62110375668191842
Ukraine,0.645,"CEE&CA, FS",Finland,0.921,DC,41518,0.60358212426947344
Myanmar,0.442,"EAP, FS",Thailand,0.761,EAP,41095,0.50412178905272453
Unknown ,,,Argentina,0.791,LAC,38879,0.51205089031714257
Haiti,0.399,"LAC, FS",Mexico,0.558,LAC,36334,0.36810698546172937
Ukraine,0.645,"CEE&CA, FS",Portugal,0.861,DC,36252,0.63425302237696168
Burkina Faso,0.507,"SSA, FS",Cote d'Ivoire,0.589,SSA,35506,0.55060013026083177
Ethiopia,0.516,"SSA, FS",Sudan,0.397,"MENA, FS",33245,0.4542659597726279
Sudan,0.397,"MENA, FS",Uganda,0.587,SSA,32110,0.48996719310292208
Dem. Rep. of the Congo,0.583,"SSA, FS",Zambia,0.566,SSA,31317,0.46379065221254667
Ukraine,0.645,"CEE&CA, FS",Lithuania,0.887,CEE&CA,30727,0.60664152731436694
Venezuela (Bolivarian Republic of),0.638,"LAC, FS",Panama,0.696,LAC,30134,0.51973990582797225
Dem. Rep. of the Congo,0.583,"SSA, FS",Kenya,0.542,SSA,29789,0.47132256380235116
Stateless,,,Estonia,0.896,CEE&CA,29748,0.46528505513412061
Sri Lanka,0.706,SA,India,0.607,SA,29614,0.32771537652852323
South Sudan,0.411,"SSA, FS",Dem. Rep. of the Congo,0.583,"SSA, FS",29521,0.531287681094214
Eritrea,,,Uganda,0.587,SSA,29043,0.4882817753866846
Ukraine,0.645,"CEE&CA, FS",Latvia,0.884,CEE&CA,28762,0.60307808437473787
Eritrea,,,Germany,0.869,DC,26385,0.36979159367072639
Burundi,0.407,"SSA, FS",Dem. Rep. of the Congo,0.583,"SSA, FS",26130,0.51358150870710328
Sudan,0.397,"MENA, FS",Ethiopia,0.516,"SSA, FS",25842,0.28450012660596918
Afghanistan,0.279,"SA, FS",Austria,0.898,DC,25743,0.52513157357920937
Ukraine,0.645,"CEE&CA, FS",Sweden,0.924,DC,25679,0.55649705270457694
Ukraine,0.645,"CEE&CA, FS",Hungary,0.832,CEE&CA,25209,0.40022544334545224
Iran (Islamic Rep. of),0.608,SA,Germany,0.869,DC,24676,0.39569602796619679
South Sudan,0.411,"SSA, FS",Egypt,0.617,MENA,24322,0.52687217035288
Burkina Faso,0.507,"SSA, FS",Togo,0.562,SSA,23962,0.60657148643175374
Burundi,0.407,"SSA, FS",Rwanda,0.624,SSA,23661,0.45722622659375062
Ukraine,0.645,"CEE&CA, FS",Estonia,0.896,CEE&CA,23385,0.55908862696344463
Ukraine,0.645,"CEE&CA, FS",Greece,0.752,DC,22868,0.69526618223830228
Iraq,0.51,"MENA, FS",Jordan,0.686,MENA,22700,0.48824554233970707
Mexico,0.558,LAC,Canada,0.885,DC,22230,0.40300212106379507
Somalia,0.455,"MENA, FS",Germany,0.869,DC,22108,0.46642334226460475
Mali,0.478,"SSA, FS",Burkina Faso,0.507,"SSA, FS",21913,0.55749758306619857
Burkina Faso,0.507,"SSA, FS",Niger,0.492,"SSA, FS",21758,0.56865819873503742
